job_number,title,company,location,description,job_url,scraped_at
24,Data Scientist - 100% Remoto,Nunegal Consulting,Spain,"¿Tienes experiencia como Data Scientist? ¿Te interesa trabajar con datos, modelos y cloud en proyectos de alto impacto?📊🌍

¡Esta puede ser tu oportunidad! 👀




¿Cómo es trabajar con nosotr@s?👩🏿 💻👨🏼 💻

Cultura de mejora continua: Te integrarás en un proyecto desafiante que potenciará tus conocimient...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4272896065&position=24&pageNum=0,2025-08-02 10:35:58
25,Data Scientist - 100% Remoto,Nunegal Consulting,Spain,"¿Tienes experiencia como Data Scientist? ¿Te interesa trabajar con datos, modelos y cloud en proyectos de alto impacto?📊🌍¡Esta puede ser tu oportunidad! 👀¿Cómo es trabajar con nosotr@s?👩🏿 💻👨🏼 💻Cultura de mejora continua: Te integrarás en un proyecto desafiante que potenciará tus conocimientos y expe...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4278978440&position=25&pageNum=0,2025-08-02 10:36:00
26,Data Scientist - 100% Remoto,Nunegal Consulting,Spain,"¿Tienes experiencia como Data Scientist? ¿Te interesa trabajar con datos, modelos y cloud en proyectos de alto impacto?📊🌍¡Esta puede ser tu oportunidad! 👀¿Cómo es trabajar con nosotr@s?👩🏿 💻👨🏼 💻Cultura de mejora continua: Te integrarás en un proyecto desafiante que potenciará tus conocimientos y expe...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4261909554&position=26&pageNum=0,2025-08-02 10:36:02
27,"Data Scientist, Product Analytics",Meta,"Los Angeles, CA","As a Data Scientist at Meta, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Oculus). By applying your technical skills, analytical mindset, and product intuition to one of the riches...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4120823523&position=27&pageNum=0,2025-08-02 10:36:04
28,Data Scientist,Dropbox,United States,"PLEASE READ: Zones are based on your zip code. If you’re within 100 miles of a listed metro area (straight-line radius), you’re included in that Zone. For this role, we are hiring in Zones 2 and 3. Check your Zone here before applying.

Company Description

Dropbox isn’t just a workplace—it’s a livi...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4250863630&position=28&pageNum=0,2025-08-02 10:36:06
29,Research Data Scientist,Jack,United States,"A leading company in the TV and video advertising analytics industry is seeking a Research Data Scientist to join its Data Science team. This organization specializes in real-time audience measurement, attribution, and creative performance analysis—empowering brands, networks, and agencies to better...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4266534647&position=29&pageNum=0,2025-08-02 10:36:09
30,"Data Scientist, Remote",Aperia Technologies,"San Mateo, CA","Aperia is unlocking a new era of efficiency and sustainability for commercial vehicle fleets, by developing innovative hardware and data analytics solutions. Inventors of the award- winning and disruptive Halotm Automatic Tire Inflator, and the cloud delivered Halo Connect tire analytics platform. A...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4271593398&position=30&pageNum=0,2025-08-02 10:36:11
31,"Data Scientist, Remote",Aperia Technologies,"San Mateo, CA","Aperia is unlocking a new era of efficiency and sustainability for commercial vehicle fleets, by developing innovative hardware and data analytics solutions. Inventors of the award- winning and disruptive Halotm Automatic Tire Inflator, and the cloud delivered Halo Connect tire analytics platform. A...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4274341890&position=31&pageNum=0,2025-08-02 10:36:13
32,"Data Scientist, Remote",Aperia Technologies,"San Mateo, CA","Aperia is unlocking a new era of efficiency and sustainability for commercial vehicle fleets, by developing innovative hardware and data analytics solutions. Inventors of the award- winning and disruptive Halotm Automatic Tire Inflator, and the cloud delivered Halo Connect tire analytics platform. A...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4267358062&position=32&pageNum=0,2025-08-02 10:36:15
33,Machine Learning Engineer (100% remote),Tether.io,United Arab Emirates,"Join Tether and Shape the Future of Digital Finance

At Tether, we’re not just building products, we’re pioneering a global financial revolution. Our cutting-edge solutions empower businesses—from exchanges and wallets to payment processors and ATMs—to seamlessly integrate reserve-backed tokens acro...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4275579011&position=33&pageNum=0,2025-08-02 10:36:17
34,Data Scientist with Healthcare,Talent Groups,United States,"Role: Senior Data Scientist

Location: Remote

Contract position.




Job Description:

Support the principal in technical execution.
Strong background in transformer architectures, fine-tuning, and healthcare data projects.
Experience with embedding models, RAG, and knowledge graphs is important.
A...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4278957970&position=34&pageNum=0,2025-08-02 10:36:19
35,Data Scientist III,Fanatics,United States,"Job Description

About the Role

Fanatics Betting & Gaming is looking for a Senior Data Scientist to join our Customer Intelligence team. You’ll play a critical role in shaping how we understand, engage, and retain our customers across the Fanatics Sportsbook and Casino platforms. This is a high-imp...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4250780162&position=35&pageNum=0,2025-08-02 10:36:21
36,Machine Learning Engineer (100% remote),Tether.io,Spain,"Join Tether and Shape the Future of Digital Finance

At Tether, we’re not just building products, we’re pioneering a global financial revolution. Our cutting-edge solutions empower businesses—from exchanges and wallets to payment processors and ATMs—to seamlessly integrate reserve-backed tokens acro...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4275575667&position=36&pageNum=0,2025-08-02 10:36:24
37,Machine Learning Engineer (100% remote),Tether.io,Spain,"Join Tether and Shape the Future of Digital FinanceAt Tether, we’re not just building products, we’re pioneering a global financial revolution. Our cutting-edge solutions empower businesses—from exchanges and wallets to payment processors and ATMs—to seamlessly integrate reserve-backed tokens across...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4279061610&position=37&pageNum=0,2025-08-02 10:36:26
38,Machine Learning Engineer (100% remote),Tether.io,Spain,"Join Tether and Shape the Future of Digital FinanceAt Tether, we’re not just building products, we’re pioneering a global financial revolution. Our cutting-edge solutions empower businesses—from exchanges and wallets to payment processors and ATMs—to seamlessly integrate reserve-backed tokens across...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4278621119&position=38&pageNum=0,2025-08-02 10:36:28
39,Data Scientist,StackAdapt,Canada,"StackAdapt is the leading technology company that empowers marketers to reach, engage, and convert audiences with precision. With 465 billion automated optimizations per second, the AI-powered StackAdapt Marketing Platform seamlessly connects brand and performance marketing to drive measurable resul...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4262592524&position=39&pageNum=0,2025-08-02 10:36:30
40,Data Scientist,Right Side Up,United States,"About Right Side Up

Right Side Up is a collective of premium marketing talent—with all of the marketing chops and none of the agency fluff. We’re trusted by the most buzzed-about early stage ventures, the fastest-growing tech companies, and well-established Fortune 500 teams to do one thing better:...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4271848621&position=40&pageNum=0,2025-08-02 10:36:32
41,Data Scientist,RapidCanvas,United States,"Job Title: Customer Facing Data Scientist (CFDS)




About Us:

RapidCanvas is the trusted partner for transforming your business with AI, pioneering the only hybrid enterprise AI platform that combines autonomous agents with human experts. We make enterprise-grade AI accessible to all organizations...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4278312246&position=41&pageNum=0,2025-08-02 10:36:34
42,Data Scientist,Konecta,European Union,"ABOUT US




Konecta is a leading innovative global service provider in customer management business process and digital outsourcing, with 120,000 passionate employees working in 30 languages across 4 continents and 26 countries. Focusing on the unique needs and opportunities of each industry, Konec...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4226244823&position=42&pageNum=0,2025-08-02 10:36:37
43,Data Scientist,Konecta,European Union,"ABOUT USKonecta is a leading innovative global service provider in customer management business process and digital outsourcing, with 120,000 passionate employees working in 30 languages across 4 continents and 26 countries. Focusing on the unique needs and opportunities of each industry, Konecta of...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4275576653&position=43&pageNum=0,2025-08-02 10:36:39
44,Data Scientist,Konecta,European Union,"ABOUT USKonecta is a leading innovative global service provider in customer management business process and digital outsourcing, with 120,000 passionate employees working in 30 languages across 4 continents and 26 countries. Focusing on the unique needs and opportunities of each industry, Konecta of...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4249480934&position=44&pageNum=0,2025-08-02 10:36:41
45,Data Scientist (f/m/d),AUTO1 Group,"Berlin, Berlin, Germany","Company Description

We are seeking a technically skilled and passionate Mid-level Data Scientist with expertise in advanced machine learning methods to join our international and dynamic Data Science department at AUTO1 Group Technology. AUTO1 Group is Europe's leading digital automotive platform. ...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4278060821&position=45&pageNum=0,2025-08-02 10:36:43
46,Machine Learning Engineer (100% remote),Tether.io,Pakistan,"Join Tether and Shape the Future of Digital Finance

At Tether, we’re not just building products, we’re pioneering a global financial revolution. Our cutting-edge solutions empower businesses—from exchanges and wallets to payment processors and ATMs—to seamlessly integrate reserve-backed tokens acro...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4275576650&position=46&pageNum=0,2025-08-02 10:36:45
47,Data Scientist - GenAI,team.it,Portugal,"Queremos fazer diferente com o essencial.




Apostamos numa estratégia de corporativismo sustentável. Acreditamos que o sucesso se baseia na construção de uma equipa centrada no bem-estar coletivo, no desenvolvimento pessoal e profissional, e assente numa filosofia de trabalho que potencie a gestão...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4238478341&position=47&pageNum=0,2025-08-02 10:36:47
